Id,Bound
0,1
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,0
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,0
22,1
23,0
24,1
25,1
26,1
27,1
28,0
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,1
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,1
45,1
46,0
47,0
48,1
49,0
50,1
51,1
52,0
53,0
54,0
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,1
69,1
70,1
71,0
72,0
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,0
97,1
98,1
99,0
100,1
101,0
102,0
103,1
104,0
105,0
106,1
107,1
108,1
109,0
110,0
111,0
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,0
124,1
125,0
126,0
127,1
128,0
129,1
130,1
131,0
132,1
133,0
134,0
135,0
136,1
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,1
151,1
152,0
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,1
178,1
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,1
187,1
188,1
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,1
212,0
213,0
214,1
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,1
224,0
225,1
226,0
227,0
228,0
229,1
230,0
231,1
232,1
233,1
234,0
235,1
236,1
237,0
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,0
250,1
251,1
252,0
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,0
264,1
265,1
266,0
267,1
268,1
269,1
270,0
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,0
284,1
285,0
286,0
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,0
299,1
300,1
301,1
302,1
303,0
304,0
305,1
306,0
307,1
308,0
309,1
310,1
311,0
312,1
313,0
314,1
315,1
316,0
317,0
318,1
319,1
320,0
321,0
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,0
334,0
335,1
336,1
337,1
338,1
339,0
340,1
341,1
342,0
343,0
344,1
345,1
346,0
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,0
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,0
365,1
366,1
367,0
368,1
369,0
370,0
371,1
372,0
373,1
374,1
375,1
376,1
377,1
378,0
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,1
388,0
389,0
390,1
391,0
392,1
393,0
394,0
395,0
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,1
410,1
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,1
431,0
432,0
433,1
434,0
435,1
436,1
437,1
438,0
439,1
440,0
441,0
442,1
443,1
444,0
445,1
446,1
447,1
448,0
449,1
450,0
451,1
452,0
453,0
454,1
455,1
456,0
457,1
458,0
459,0
460,1
461,0
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,1
475,1
476,0
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,1
495,0
496,1
497,0
498,1
499,1
500,1
501,1
502,0
503,0
504,1
505,1
506,0
507,0
508,1
509,0
510,1
511,0
512,0
513,0
514,1
515,0
516,0
517,0
518,1
519,0
520,0
521,1
522,0
523,0
524,0
525,1
526,1
527,1
528,1
529,0
530,1
531,1
532,0
533,1
534,1
535,0
536,1
537,1
538,1
539,1
540,1
541,1
542,0
543,1
544,1
545,1
546,1
547,0
548,0
549,0
550,0
551,1
552,1
553,0
554,0
555,0
556,0
557,1
558,1
559,1
560,0
561,1
562,1
563,1
564,0
565,1
566,1
567,0
568,1
569,0
570,1
571,1
572,1
573,1
574,0
575,0
576,0
577,0
578,1
579,0
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,0
589,0
590,1
591,0
592,0
593,0
594,1
595,1
596,0
597,1
598,0
599,1
600,1
601,0
602,0
603,0
604,0
605,1
606,0
607,1
608,1
609,0
610,1
611,1
612,1
613,1
614,0
615,0
616,1
617,1
618,0
619,1
620,1
621,0
622,1
623,0
624,0
625,0
626,0
627,0
628,1
629,1
630,0
631,0
632,0
633,1
634,1
635,1
636,1
637,0
638,1
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,1
651,0
652,0
653,1
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,1
662,1
663,0
664,0
665,0
666,1
667,0
668,1
669,0
670,1
671,0
672,1
673,0
674,0
675,0
676,0
677,0
678,0
679,1
680,1
681,0
682,1
683,0
684,0
685,0
686,1
687,1
688,0
689,1
690,1
691,0
692,0
693,1
694,0
695,1
696,1
697,1
698,0
699,1
700,0
701,1
702,1
703,0
704,1
705,0
706,1
707,1
708,0
709,1
710,1
711,1
712,1
713,1
714,0
715,1
716,0
717,0
718,1
719,1
720,0
721,0
722,1
723,0
724,0
725,1
726,0
727,1
728,0
729,0
730,0
731,1
732,1
733,0
734,0
735,1
736,1
737,1
738,1
739,1
740,1
741,0
742,0
743,1
744,0
745,0
746,1
747,0
748,1
749,1
750,1
751,0
752,0
753,1
754,1
755,1
756,0
757,0
758,1
759,1
760,0
761,1
762,1
763,0
764,0
765,1
766,1
767,0
768,1
769,1
770,1
771,1
772,0
773,0
774,0
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,0
783,1
784,1
785,1
786,0
787,1
788,1
789,1
790,1
791,0
792,1
793,0
794,1
795,0
796,0
797,1
798,0
799,1
800,1
801,0
802,0
803,0
804,1
805,1
806,0
807,1
808,0
809,0
810,0
811,1
812,1
813,1
814,1
815,1
816,0
817,0
818,1
819,1
820,1
821,0
822,1
823,0
824,0
825,1
826,1
827,0
828,0
829,1
830,0
831,0
832,0
833,0
834,1
835,0
836,0
837,1
838,1
839,1
840,0
841,1
842,0
843,0
844,1
845,1
846,0
847,0
848,1
849,1
850,0
851,1
852,0
853,1
854,1
855,1
856,0
857,1
858,1
859,1
860,0
861,0
862,1
863,1
864,1
865,1
866,1
867,0
868,1
869,1
870,0
871,1
872,0
873,0
874,0
875,1
876,1
877,1
878,0
879,0
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,0
888,0
889,0
890,1
891,1
892,1
893,1
894,0
895,0
896,1
897,0
898,1
899,0
900,1
901,1
902,0
903,0
904,0
905,1
906,0
907,1
908,0
909,1
910,0
911,1
912,1
913,1
914,1
915,0
916,1
917,1
918,1
919,0
920,0
921,1
922,1
923,0
924,1
925,0
926,1
927,1
928,0
929,1
930,1
931,1
932,1
933,0
934,0
935,1
936,0
937,1
938,1
939,0
940,1
941,1
942,1
943,0
944,1
945,0
946,0
947,1
948,0
949,1
950,0
951,0
952,1
953,1
954,1
955,1
956,0
957,1
958,0
959,1
960,0
961,1
962,0
963,1
964,0
965,1
966,0
967,0
968,1
969,1
970,0
971,1
972,0
973,1
974,0
975,1
976,0
977,0
978,1
979,1
980,0
981,0
982,0
983,0
984,0
985,0
986,1
987,1
988,1
989,0
990,0
991,0
992,1
993,0
994,0
995,1
996,0
997,0
998,1
999,1
